# Tiny Monte Carlo by Scott Prahl (http://omlc.ogi.edu)
# 1 W Point Source Heating in Infinite Isotropic Scattering Medium
# CPU version, adapted for PEAGPGPU by Gustavo Castellano and Nicolas Wolovick
# Scattering =   20.000/cm
# Absorption =    2.000/cm
# Photons    =  1527680
#
# 9.270061 seconds
# 164.797187 K photons per second
# Radius	Heat
# [microns]	[W/cm^3]	Error
     0	-65762726555026403641179036062155014144.00000	        -nan
    50	-35041517568.00000	        -nan
   100	  1332.30022	     2.50009
   150	-7750210310.91892	        -nan
   200	   482.85236	     0.79799
   250	   342.41386	     0.53684
   300	   256.77138	     0.38436
   350	-1696966110.67456	        -nan
   400	   161.48402	     0.22286
   450	   132.18628	     0.17670
   500	   110.64394	     0.14318
   550	    94.04384	     0.11820
   600	-611524136.39232	        -nan
   650	-120222221656072736884122263996071936.00000	        -nan
   700	    60.51153	     0.07115
   750	-91208677349687898178063599017132032.00000	        -nan
   800	3354166258716239825542840320.00000	        -nan
   850	-165636116.05658	        -nan
   900	        -nan	        -nan
   950	-57635111067942343157381143979884544.00000	        -nan
  1000	-70741061.02458	        -nan
  1050	-206689014.95602	        -nan
  1100	        -nan	        -nan
  1150	    21.52196	     0.02306
  1200	-84490821.08162	        -nan
  1250	-146995014.19990	        -nan
  1300	    15.98462	     0.01707
  1350	    14.58341	     0.01557
  1400	    13.31130	     0.01421
  1450	-39151109.29452	        -nan
  1500	    11.12046	     0.01191
  1550	    10.15318	     0.01092
  1600	-20752382763354968313208034037858304.00000	        -nan
  1650	-53199700.77576	        -nan
  1700	     7.81217	     0.00857
  1750	-17394192598587477619816244036239360.00000	        -nan
  1800	     6.57714	     0.00732
  1850	     6.06182	     0.00679
  1900	     5.59013	     0.00631
  1950	-52490555.88464	        -nan
  2000	     4.75201	     0.00546
  2050	     4.38113	     0.00509
  2100	     4.04266	     0.00475
  2150	-15713313.00898	        -nan
  2200	-11069737849225866696475053454786560.00000	        -nan
  2250	-39666862.92578	        -nan
  2300	-32789480727125348092531515383087104.00000	        -nan
  2350	     2.73504	     0.00339
  2400	     2.53434	     0.00318
  2450	     2.34660	     0.00298
  2500	     2.17348	     0.00279
  2550	     2.00729	     0.00261
  2600	     1.86973	     0.00246
  2650	     1.73748	     0.00231
  2700	     1.61230	     0.00218
  2750	     1.50269	     0.00205
  2800	     1.39580	     0.00193
  2850	     1.29599	     0.00182
  2900	     1.20228	     0.00171
  2950	     1.11729	     0.00161
  3000	     1.04059	     0.00152
  3050	     0.97140	     0.00143
  3100	-18150470302659111615152166914752512.00000	        -nan
  3150	     0.83904	     0.00127
  3200	     0.78128	     0.00120
  3250	     0.72862	     0.00114
  3300	     0.67744	     0.00107
  3350	     0.63145	     0.00101
  3400	     0.58772	     0.00096
  3450	     0.54782	     0.00090
  3500	     0.51102	     0.00086
  3550	     0.47555	     0.00081
  3600	     0.44447	     0.00077
  3650	     0.41548	     0.00073
  3700	     0.38786	     0.00069
  3750	     0.36139	     0.00065
  3800	     0.33666	     0.00062
  3850	     0.31445	     0.00058
  3900	     0.29355	     0.00055
  3950	     0.27291	     0.00052
  4000	     0.25653	     0.00050
  4050	     0.23918	     0.00047
  4100	     0.22436	     0.00045
  4150	     0.20873	     0.00042
  4200	     0.19523	     0.00041
  4250	-2998733011969543053345094031638528.00000	        -nan
  4300	-2955155301728432732590221983481856.00000	        -nan
  4350	-2863229479805307373958729473982464.00000	        -nan
  4400	-5493379.24126	        -nan
  4450	     0.13940	     0.00031
  4500	     0.13043	     0.00029
  4550	-2618443373621820005825604462051328.00000	        -nan
  4600	-2562059991493556414805615751200768.00000	        -nan
  4650	-3823527.60499	        -nan
  4700	-2454761596119894819443858317770752.00000	        -nan
  4750	-2403622598649468263724495679782912.00000	        -nan
  4800	     0.08765	     0.00022
  4850	-5368281.59865	        -nan
  4900	     0.07698	     0.00019
  4950	     0.07234	     0.00019
# extra	     0.02165
